Nome,Código QR / Valor do Código de Barras,Quantidade,O Aviso Crítico de Nível de Quantidade Está Ativado?,Nível de Quantidade Crítica,Descrição,Campo Adicional,É Favorito?,Contagem de Uso,Criar Data,Data de Actualização,Grupos Relacionados,Tags Relacionadas
TELEFONE AVAYA - 17-21,1290003868,1,Falso,0,APARELHO TELEFONICO IP DESKPHONE DO SISTEMA DE TELEFONIA IP -  MODELO: 9611G -  MARCA: AVAYA. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 11-09-2012).,[Cod2Aud:3399],Falso,1,18.08.2023 19:05,26.08.2025 17:26,[7 andar],[MPM]
Poltrona Curvada e Giratoria de Espuma KR 080 Veludo Triunfo Imbuia Mel 2/2,1290005576,0,Falso,0,,[Acoplamento: | Acoplamento:],Falso,0,26.08.2025 17:06,26.08.2025 17:06,[6 andar],[Juiz Titular]
POLTRONA PRESIDENTE PRETA 1995,1290001651,1,Falso,0,POLTRONA PRESIDENTE -  COR PRETA,[Cod2Aud:2659],Falso,1,18.08.2023 19:05,18.08.2023 19:05,,
POLTRONA FIXA GIROFLEX PRETA 26-81,1290002853,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO -  REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM DO LADO DIREITO DA FILEIRA -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  EM TUBO DE ACO -  BASE PREPARADA PRA SER FIXADA NO PISO -  PANEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO -  ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
CADEIRA GIRATORIA ENERGY COURO ECO - 11-14,1290003712,1,Falso,0,CADEIRA GIRATORIA -  ESPALDAR ALTO MODELO ENERGY EM COURO ECOLOGICO PRETO COM BRACO REGULAVEL (ENERGY ALTO 404I).,[Cod2Aud:3134],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[2 andar],[Plenario Principal]
ARMARIO ALTO 2 PORTAS (A),1290004228,1,Falso,0,ARMARIO ALTO -  2 PORTAS DE ABRIR -  MEDINDO 800X500X1600MM EM MDP -  TAMPO EM MDP DE 25MM ESPESSURA ACABAMENTO EM FITA DE BORDA PVC DE 2MM ESPESSURA -  COSTAS -  BASES E LATERAIS EM MDP DE 18MM ESPESSURA -  PUXADORES EM ALUMINIO DE 128MM -  FECHADURAS COM 2 CHAVES ESCAMOTEAVEIS -  2 PRATELEIRAS REGULAVEIS -  1 PRATELEIRA FIXA -  PORTAS DE GIRO EM MADEIRA MDP DE 18MM -  COR CARVALHO MALVA -  MARCA CADERODE.,[Cod2Aud:2681],Falso,1,18.08.2023 19:07,18.08.2023 19:07,[6 andar],[Paula]
APOIO PES STALO MDF - 20-22,1290004830,1,Falso,0,APOIO ERGONOMICO PARA OS PES -  MARCA STALO -  FABRICADO EM MDF -  ANTIDERRAPANTE -  PRETO,[Cod2Aud:0000],Falso,1,18.08.2023 19:07,18.08.2023 19:07,,
MONITOR HP 22MP55Y-B - 1 -17,1290004623,1,Falso,0,MONITOR DE VIDEO LCD FULL HD -  TELA DE 21 - 5 POLEGADAS -  DIAGONAL: 54 - 6CM -  ASPECTO DA TELA: 16:9 -  TEMPO DE RESPOSTAS: 8 MS -  RESOLUCAO: 1920 x 1080 (FULL HD) -  BRILHO: 250 CD-M? -  CONTRASTES: 1.000:1 (ESTATICO) E 5.000.000:1 (DIN?MICO) -  ?NGULOS DE VISAO (HxV): 178?x178? -  NUMERO DE CORES: 16 - 7 MILHOES -  CONECTORES: 1 (UM) DVI-D -  1 (UM) DISPLAY PORT -  1 (UM) AC -  1 (UM) VGA (D-SUB) -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 1.0A -  MODELO: 22MP55Y-B (V225hz) -  MARCA: HP. (GARANTIA: 48 (QUARENTA E OITO) MESES ON SITE A CONTAR DE 28 -12-2017).,[Cod2Aud:0000],Falso,1,18.08.2023 19:06,18.08.2023 19:06,,
TELEFONE AVAYA - 7-21,1290003857,1,Falso,0,APARELHO TELEFONICO IP DESKPHONE DO SISTEMA DE TELEFONIA IP -  MODELO: 9611G -  MARCA: AVAYA. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 11-09-2012).,[Cod2Aud:3207],Falso,1,18.08.2023 19:05,04.09.2025 19:07,[6 andar],[Cartorio]
CPM - CPPM - CF - RICARDO VERGUEIRO - 4-10,1290004372,1,Falso,0,CODIGO PENAL MILITAR -  CODIGO DE PROCESSO PENAL MILITAR -  CONSTITUICAO FEDERAL -  2015 -  13? EDICAO.,[Cod2Aud:2661],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Armario 1290003457]
POLTRONA FIXA GIROFLEX PRETA 79-81,1290002906,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
POLTRONA FIXA GIROFLEX PRETA 44-81,1290002871,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
POLTRONA FIXA GIROFLEX PRETA 17-81,1290002844,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
MONITOR HP W17E - 3 -12,1290004196,1,Falso,0,MONITOR DE VIDEO LCD -  COLORIDO -  TELA COM 17 POLEGADAS -  ?NGULO DE MOVIMENTACAO DO VISOR: -5? A 20? DE INCLINACAO VERTICAL -  TECNOLOGIA DO VISOR: MATRIZ ATIVA TFT -  CONTRAST RATIO: 500:1 -  DOT PITCH 0 - 25MM -  TEMPO DE RESPOSTAS: 8MS -  ?NGULO DE VISUALIZACAO DO VISOR: 140? NA HORIZONTAL E 130? NA VERTICAL -  LUMINOSIDADE DO VISOR: 250 NITS -  RESOLUCAO PREDEFINIDA: 1440 x 900 A 60Hz -  RESOLUCAO PREDEFINIDA ALTA: 1440 x 900 A 75Hz -  RESOLUCAO DIRECIONADA ALTA: 1440 x 900 A 75Hz -  PLUG & PLAY: VESA DDC2B -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 1.5A -  MODELO: w17E -  MARCA: HP. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 06-01-2010).,[Cod2Aud:2611],Falso,1,18.08.2023 19:05,22.08.2023 17:44,[Mezanino],[Deposito]
