Cod Material;Tombamento;SiglaLotacao;Lotação;Sigla de usuário com carga pessoal;Nome de usuário com carga pessoal;Descrição;Núm. série;Marca;Modelo;Autor;Editora;Edicao;Forn Razao Social;Forn Nome Fantasia;Orgao Ext. Entrada;Cód. estrutural;Tipo Entrada;NumDocumento;Valor de aquisição;Valor de reavaliação;Valor Atualizado;Classificação SIAFI;Descr Siafi;Situação;Observação;Data de aquisição;Data de reavaliação;Data de atualização;Dt Term Garantia;Dta Ult. Movimentacao;Dta Baixa;Tipo Termo;Num.Termo;Órgão Externo;Processo Adm.;Estado Conservação;Ano/mês da última atualização;Data estimada do término da licença
"53826";"1290000024";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"ARMARIO ACO NEVES, C/PRATELEIRAS REMOVIVEIS";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51609";"0,01";"";"0,01";"12311.03.03";"MOBILIARIO EM GERAL";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"53961";"1290000099";"1aAUD2aCJM";"1a AUDITORIA DA 2a CJM";"";"";"ARMARIO, COD. 3028, MOD. 217.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51610";"0,01";"";"0,01";"12311.03.03";"MOBILIARIO EM GERAL";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"32667";"1290000424";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"COD.PROC.PENAL 3 VOL BENTO DE FARIA.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51611";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"32762";"1290000425";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"CÓDIGO PENAL BRASILEIRO COMENTADO, BENTO DE FARIA, 7 VOLS";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51612";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"32763";"1290000426";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"CÓDIGO PENAL BRASILEIRO COMENTADO, E. NORONHA E OUTROS, 5 VOL.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51613";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33065";"1290000427";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"COMENTARIOS AO CÓDIGO PENAL, NELSON HUNGRIA E OUTRO, 10 VOLS.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51614";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"32983";"1290000428";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"COMENT.AO COD.PENAL, A.QUINTANO REPOLLEIS,2VOL.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51615";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"33918";"1290000429";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"DIREITO PENAL, ANIBAL BRUNO,, VOL. 1, TOMOS I, II, III, IV";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51616";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"34923";"1290000430";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"INSTITUTO DE DIREITO PENAL, BASILEU GARCIA, VOL. 1, TOMOS I E II";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51617";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"38905";"1290000431";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"TRATADO DE DTO PENAL,FREDERICO MARQUES,4 VOL.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51618";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"40311";"1290000432";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"LICOES DE DTO PENAL,HELENO FRAGOSO,4 VOL E 2 VOL. PARTE ESPECIAL";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51619";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37786";"1290000433";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REVISTA DE DIR.PENAL,C.H.FRAGOSO,4 VOL.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51620";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37787";"1290000434";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REVISTA DE DIR.PENAL,C.H.FRAGOSO,VOL 5 A 8.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51621";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37781";"1290000435";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REVISTA DE DIR PENAL,C.H.GRAGOSO,VOL 9 A 10.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51622";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37788";"1290000436";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REVISTA DE DIR.PENAL,C.H.FRAGOSO,VOLS DE 11 A 16.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51623";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37783";"1290000437";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REVISTA DE DIR. PENAL, C.H.FRAGOSO, VOLS 17 E 18.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51624";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37784";"1290000438";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REVISTA DE DIR. PENAL, C.H.FRAGOSO, VOLS, 19 E 20.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51625";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
"37785";"1290000439";"DIRF2aCJM";"DIRETORIA DO FORO DA 2a CJM";"";"";"REVISTA DE DIR. PENAL, C.H.FRAGOSO, VOLS. 21 E 22.";"";"";"";"";"";"";"FORNECEDOR NÃO ENCONTRADO NA MIGRAÇÃO DO LICIMAP";"";"";"2000000";"Termo";"51626";"0,01";"";"0,01";"12311.04.02";"COLECOES E MATERIAIS BIBLIOGRAFICOS";"ATIVO";"MIGRAÇÃO";"01/12/1984";"";"02/02/2026";"";"01/12/1984 00:00:00";"";"";"";"";"";"";"196901";"N/A"
